account_number;agreement_number;account_type;name;balance;debit_credit;block_direct_entries;vat_code;self_url;created_at;updated_at;Mapping;Category
6884;1382005;status;Mellemregning BH36-38 Holding;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6884;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts I;Balance sheet
6885;1382005;status;Mellemregning Cubic Meter;28888,81;debit;0;\N;https://restapi.e-conomic.com/accounts/6885;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts I;Balance sheet
6886;1382005;status;Mellemregning M92 III;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6886;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6887;1382005;status;Mellemregning AGSHDKBV;2000;debit;0;\N;https://restapi.e-conomic.com/accounts/6887;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts I;Balance sheet
6888;1382005;status;Mellemregning BH46;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6888;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6889;1382005;status;Mellemregning BH46-48;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6889;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6890;1382005;status;Mellemregning BH48;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6890;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6891;1382005;status;Mellemregning Frececo Taastrup;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6891;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6892;1382005;status;Mellemregning Frececo Roskilde;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6892;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6893;1382005;status;Mellemregning Hauser Plads ApS;1425283,63;debit;0;\N;https://restapi.e-conomic.com/accounts/6893;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6894;1382005;status;Mellemregning: AG - husleje The Mark;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6894;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6895;1382005;status;Nedskrivning mellemregning associerede;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6895;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts II;Balance sheet
6896;1382005;status;Nedskrivning mellemregning tilknyttede;-22638,81;debit;0;\N;https://restapi.e-conomic.com/accounts/6896;10/04/2025 10.33;01/05/2025 15.59;Intercompany accounts I;Balance sheet
6899;1382005;totalFrom;GÆLD;134493,35;debit;0;\N;https://restapi.e-conomic.com/accounts/6899;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
6900;1382005;heading;Moms og afgifter;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6900;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
6901;1382005;status;Interimskonto moms;0;credit;0;\N;https://restapi.e-conomic.com/accounts/6901;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
6902;1382005;status;Udgående (salg) moms;-2226343,08;credit;0;\N;https://restapi.e-conomic.com/accounts/6902;10/04/2025 10.33;01/05/2025 15.59;VAT payables;Balance sheet
6903;1382005;status;Indgående (køb) moms;604006,29;debit;0;\N;https://restapi.e-conomic.com/accounts/6903;10/04/2025 10.33;01/05/2025 15.59;VAT payables;Balance sheet
6906;1382005;status;Erhvervelsesmoms (køb i udland);8663,62;debit;0;\N;https://restapi.e-conomic.com/accounts/6906;10/04/2025 10.33;01/05/2025 15.59;VAT payables;Balance sheet
6907;1382005;status;Erhvervelsesmoms (modkonto);-8663,62;credit;0;\N;https://restapi.e-conomic.com/accounts/6907;10/04/2025 10.33;01/05/2025 15.59;VAT payables;Balance sheet
6910;1382005;status;Olieafgift;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6910;10/04/2025 10.33;01/05/2025 15.59;VAT payables;Balance sheet
6911;1382005;status;Elafgift;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6911;10/04/2025 10.33;01/05/2025 15.59;VAT payables;Balance sheet
6914;1382005;status;CO2-afgift;0;credit;0;\N;https://restapi.e-conomic.com/accounts/6914;10/04/2025 10.33;01/05/2025 15.59;VAT payables;Balance sheet
6917;1382005;status;Betalt moms;0;debit;0;\N;https://restapi.e-conomic.com/accounts/6917;10/04/2025 10.33;01/05/2025 15.59;Other payables;Balance sheet
